Setting,Metric,Point Estimate,95% CI Lower,95% CI Upper
Default Threshold (0.50),Accuracy,0.8824,0.869,0.8946
Default Threshold (0.50),Precision,0.5927,0.5487,0.6335
Default Threshold (0.50),Recall,0.7696,0.7297,0.811
Default Threshold (0.50),F1-score,0.6697,0.6345,0.7042
Default Threshold (0.50),ROC-AUC,0.9241,0.9103,0.9363
Default Threshold (0.50),PR-AUC,0.7272,0.6817,0.7687
Default Threshold (0.50),Brier Score,0.0871,0.0795,0.0955
Validation-Selected Threshold (0.70),Accuracy,0.8958,0.8836,0.9075
Validation-Selected Threshold (0.70),Precision,0.6676,0.6162,0.7158
Validation-Selected Threshold (0.70),Recall,0.6518,0.6056,0.7005
Validation-Selected Threshold (0.70),F1-score,0.6596,0.6192,0.6981
Validation-Selected Threshold (0.70),ROC-AUC,0.9241,0.9103,0.9363
Validation-Selected Threshold (0.70),PR-AUC,0.7272,0.6817,0.7687
Validation-Selected Threshold (0.70),Brier Score,0.0871,0.0795,0.0955
