Feature,MeanAbsSHAP
cat__Month_May,1.077605
num__PageValues,0.58567333
num__ExitRates,0.5593045
cat__TrafficType_13,0.51836133
num__BounceRates,0.33704656
num__ProductRelated_Duration,0.2957031
cat__Month_Nov,0.29060796
cat__TrafficType_1,0.26479763
num__Informational_Duration,0.17935386
num__Administrative_Duration,0.17548451
num__ProductRelated,0.16355719
cat__VisitorType_New_Visitor,0.15535726
cat__TrafficType_3,0.14834425
num__Administrative,0.14367588
cat__OperatingSystems_3,0.092538245
num__Informational,0.07440112
num__SpecialDay,0.07094739
cat__TrafficType_2,0.064338
cat__OperatingSystems_2,0.023741713
cat__VisitorType_Returning_Visitor,0.019982336
