Feature,FeatureValue,SHAPValue,AbsSHAPValue
num__PageValues,86.33623272,2.9939702,2.9939702
num__BounceRates,0.028571429,-0.86772996,0.86772996
cat__Month_May,0.0,-0.4497056,0.4497056
num__ProductRelated_Duration,95.0,-0.43163666,0.43163666
cat__TrafficType_13,0.0,-0.42385766,0.42385766
num__Administrative,0.0,0.30689162,0.30689162
num__ExitRates,0.028571429,-0.2973957,0.2973957
cat__TrafficType_1,0.0,-0.2839102,0.2839102
cat__VisitorType_New_Visitor,1.0,0.24086918,0.24086918
cat__OperatingSystems_3,0.0,-0.2375013,0.2375013
num__Informational_Duration,0.0,-0.2311481,0.2311481
num__ProductRelated,6.0,-0.1746955,0.1746955
cat__TrafficType_3,0.0,-0.11662792,0.11662792
cat__Month_Nov,0.0,0.051010825,0.051010825
cat__OperatingSystems_2,0.0,0.029340062,0.029340062
num__Administrative_Duration,0.0,-0.021312669,0.021312669
cat__TrafficType_2,1.0,-0.018301861,0.018301861
num__Informational,0.0,-0.017827403,0.017827403
num__SpecialDay,0.0,-0.007781771,0.007781771
cat__VisitorType_Returning_Visitor,0.0,-0.0044142213,0.0044142213
